,year,crime_type,value,variable
0,2006,Violent crime,786.8631031936188,rate
1,2007,Violent crime,718.4108873121135,rate
2,2008,Violent crime,689.5235424262254,rate
3,2009,Violent crime,625.3936316376947,rate
4,2010,Violent crime,559.2305712018122,rate
5,2011,Violent crime,522.3851619159457,rate
6,2012,Violent crime,481.10020902062246,rate
7,2013,Violent crime,426.0162811233072,rate
8,2014,Violent crime,490.7120251706524,rate
9,2015,Violent crime,634.8155285023491,rate
10,2016,Violent crime,719.0040682101994,rate
11,2017,Violent crime,761.3147209223919,rate
