Economically Disadvantaged,Latitude,Longitude
230,36.07080058,-86.72549463
382,36.26389402,-86.71620849
81,36.15952461,-86.78153602
377,36.06288453,-86.60463837
162,36.14365344,-86.78585349
272,36.18062644,-86.75047137
127,36.17436415,-86.75164889
171,36.23825258,-86.80366466
188,36.19606322,-86.83753939
170,36.13541685,-86.73862237
307,36.08747494,-86.73414769
303,36.31815052,-86.71246409
191,36.09577221,-86.80199502
37,36.10272398,-86.83311931
307,36.07697621,-86.7484948
232,36.25637022,-86.74167109
257,36.19090848,-86.60331793
133,36.18115373,-86.80139789
241,36.22073858,-86.78175245
397,36.1645404,-86.81513616
376,36.27664532,-86.81883299
164,36.23496427,-86.78246535
871,36.18544319,-86.67784935
96,36.15458411,-86.85100166
115,36.04506646,-86.65158341
769,36.04667464,-86.59941833
377,36.11880669,-86.8739002
199,36.22821545,-86.72215874
249,36.13759485,-86.80760421
291,36.1510157,-86.8296779
208,36.17774116,-86.79813805
284,36.20864749,-86.75662302
228,36.19031869,-86.80717823
104,36.14240589,-86.78131452
257,36.14606234,-86.72164617
237,36.18715342,-86.80471307
395,36.06735338,-86.66974658
130,36.21863826,-86.71708395
275,36.17535384,-86.8094237
37,36.13754885,-86.79002142
129,36.23158465,-86.62377469
174,36.17997265,-86.74607311
154,36.160559,-86.68103494
203,36.19849607,-86.61088893
145,36.15407313,-86.85187659
106,36.25102507,-86.69661996
154,36.15860499,-86.80440551
254,36.26968766,-86.76230026
209,36.11038989,-86.70642502
199,36.18886165,-86.73324272
409,36.16747626,-86.75191017
334,36.02181712,-86.65884778
486,36.05637961,-86.7236925
180,36.07065063,-86.7250512
342,36.07416907,-86.70806917
173,36.14539088,-86.76401446
253,36.15989894,-86.83194158
7,36.15497807,-86.85204593
379,36.16672257,-86.65633623
203,36.17207534,-86.760097
238,36.13514463,-86.73860616
201,36.14788548,-86.7639513
24,36.0503998,-86.65481973
25,36.09593592,-86.78390656
224,36.15124524,-86.88371355
388,36.08741941,-86.7070561
290,36.11637568,-86.86673001
25,36.13469914,-86.85711693
287,36.02017398,-86.7122071
781,36.07979927,-86.76899451
88,36.20336639,-86.68142732
100,36.13291332,-86.74050019
150,36.29220888,-86.71066018
248,36.16497987,-86.65747884
331,36.10706561,-86.81222916
249,36.11504485,-86.73568455
84,36.06574575,-86.75810305
111,36.31567955,-86.86803981
98,36.04552596,-86.95804996
254,36.03083402,-86.67395212
656,36.27882755,-86.7538435
138,36.17883596,-86.64322138
33,36.15472188,-86.84555357
325,36.21364927,-86.7654224
460,36.10010888,-86.73413342
200,36.2613821,-86.65262579
15,36.17622508,-86.73952049
217,36.0501591,-86.64572008
190,36.2529607,-86.8322292
28,36.20270057,-86.69207924
297,36.19962251,-86.61259576
311,36.26560267,-86.71768233
296,36.24209989,-86.77930926
18,36.06158715,-86.83369522
194,36.29120972,-86.73794896
368,36.09503036,-86.65288038
259,36.2328428,-86.74516052
148,36.0467903,-86.753046
163,36.18398052,-86.71777697
216,36.15620646,-86.84514493
513,36.23275198,-86.75033937
486,36.20699504,-86.71827177
102,36.17986013,-86.75454811
367,36.14859279,-86.76399902
278,36.04185906,-86.60459768
278,36.03971967,-86.61815063
413,36.0223006,-86.66127077
358,36.12757047,-86.70636796
,36.08180191,-86.77638259
62,36.06035009,-86.64101743
141,36.19799021,-86.63537014
289,36.10162585,-86.72309983
150,36.09199678,-86.89413665
68,36.17636399,-86.76088019
163,36.31293934,-86.71048708
289,36.13047686,-86.72486618
210,36.19453591,-86.76943925
184,36.19428804,-86.79469996
79,36.15012141,-86.84538306
646,36.19758986,-86.71806713
41,36.15070892,-86.84519908
176,36.12646187,-86.78662956
181,36.11534205,-86.92228685
420,36.05833526,-86.69862021
249,36.17830976,-86.76900113
281,36.24190792,-86.67423071
124,36.13514319,-86.80760668
53,36.14308831,-86.85571486
158,36.20764018,-86.78911404
190,36.19479841,-86.76918578
161,36.23996906,-86.6735175
314,36.09233578,-86.70367086
166,36.16167564,-86.80047381
270,36.31384607,-86.86577624
197,36.22057234,-86.82690777
283,36.07881496,-86.63007231
346,36.05546679,-86.6006047
224,36.15616691,-86.57865771
172,36.21902803,-86.75088304
215,36.2120627,-86.73292493
231,36.2120691,-86.86656862
49,36.18893027,-86.73458329
139,36.13197471,-86.82432265
97,36.19158751,-86.83263571
534,36.10140068,-86.72746929
163,36.19107041,-86.74772151
237,36.19446724,-86.67397377
322,36.15002117,-86.75639911
665,36.03028843,-86.62123021
201,36.13347184,-86.76620628
91,36.14422371,-86.84459504
241,36.07074879,-86.93482036
479,36.06224212,-86.71899466
18,36.12651716,-86.75339875
282,36.27376585,-86.70383153
249,36.08236383,-86.59548478
190,36.19990663,-86.77079229
100,36.04540154,-86.65199372
187,36.16230587,-86.85533179
88,36.17607628,-86.68231751
143,36.19783128,-86.72384064
100,36.04521202,-86.65187296
240,36.24977849,-86.64278911
454,36.05537897,-86.67182989
457,36.06687798,-86.66406971
243,36.02103117,-86.71463119
214,36.23750746,-86.80370654
